n,N_A,N_B,excess,N_A_closed,N_B_closed,excess_closed,N_B_minus_2N_A,ratio_NBoverNA
1,1,8,6,1,8,6,6,8.0
2,4,23,15,4,23,15,15,5.75
3,14,64,36,14,64,36,36,4.571429
4,32,121,57,32,121,57,57,3.78125
5,63,216,90,63,216,90,90,3.428571
6,108,339,123,108,339,123,123,3.138889
7,172,512,168,172,512,168,168,2.976744
8,256,725,213,256,725,213,213,2.832031
9,365,1000,270,365,1000,270,270,2.739726
10,500,1327,327,500,1327,327,327,2.654
11,666,1728,396,666,1728,396,396,2.594595
12,864,2193,465,864,2193,465,465,2.538194
13,1099,2744,546,1099,2744,546,546,2.496815
14,1372,3371,627,1372,3371,627,627,2.456997
15,1688,4096,720,1688,4096,720,720,2.42654
16,2048,4909,813,2048,4909,813,813,2.396973
17,2457,5832,918,2457,5832,918,918,2.373626
18,2916,6855,1023,2916,6855,1023,1023,2.350823
19,3430,8000,1140,3430,8000,1140,1140,2.332362
20,4000,9257,1257,4000,9257,1257,1257,2.31425
21,4631,10648,1386,4631,10648,1386,1386,2.299287
22,5324,12163,1515,5324,12163,1515,1515,2.28456
23,6084,13824,1656,6084,13824,1656,1656,2.272189
24,6912,15621,1797,6912,15621,1797,1797,2.259983
25,7813,17576,1950,7813,17576,1950,1950,2.249584
26,8788,19679,2103,8788,19679,2103,2103,2.239304
27,9842,21952,2268,9842,21952,2268,2268,2.230441
28,10976,24385,2433,10976,24385,2433,2433,2.221665
29,12195,27000,2610,12195,27000,2610,2610,2.214022
30,13500,29787,2787,13500,29787,2787,2787,2.206444
